.03,8.00,0.21,1.57,8.53,-20.76,0
24451,-7.10,8.00,0.24,1.33,16.28,-20.15,0
24402,-6.70,7.90,0.38,1.45,-0.61,-22.46,0
24426,-7.03,8.00,0.21,1.57,8.53,-20.76,0
24451,-7.10,8.00,0.24,1.33,16.28,-20.15,0
Initialize MPU6050
* Clock Source: 1
* Accel Range:  0
* Accel Offset Registers: -1530 / -493 / 432
===== Calibration Complete =====
t_ms,ax,ay,az,gx,gy,gz,label
5691,-17.88,-5.95,4.16,12.98,114.87,190.03,0
5716,-15.83,-5.76,3.88,16.27,128.10,223.45,0
5740,-13.57,-5.52,3.12,20.23,78.65,239.91,0
5765,-12.25,-4.97,2.16,22.00,63.04,241.80,0
5790,-11.59,-4.09,1.60,21.76,56.21,243.39,0
5815,-10.55,-2.87,1.37,23.10,52.19,242.41,0
5840,-9.98,-2.09,0.38,22.55,28.17,237.78,0
5865,-9.49,-0.97,0.28,19.44,37.62,235.76,0
5890,-8.03,0.12,0.09,16.63,29.51,231.80,0
5914,-7.21,0.97,-0.26,13.16,0.42,219.85,0
5939,-7.59,2.05,-0.74,9.19,20.18,208.51,0
5963,-6.59,2.69,-1.05,1.02,6.09,202.53,0
5989,-6.00,3.63,-1.13,-3.43,-3.54,194.24,0
6014,-4.87,4.36,-0.75,-8.06,9.02,186.62,0
6038,-3.55,5.47,-0.38,-9.10,-6.47,173.39,0
6063,-3.06,5.91,-0.46,-8.73,5.97,159.67,0
6087,-2.93,6.79,-0.14,-9.16,18.53,147.53,0
6112,-2.19,6.87,-0.36,-8.79,11.52,136.80,0
6138,-2.12,7.03,-0.08,-6.23,-3.42,126.13,0
6162,-1.79,7.28,-0.20,-7.21,-3.54,120.64,0
6187,-1.76,7.72,-0.29,-7.88,-4.88,114.97,0
6211,-0.94,7.39,-0.27,-11.11,-0.61,112.72,0
6236,0.13,7.93,0.03,-10.99,-5.86,104.24,0
6260,0.80,8.24,0.50,-8.37,-0.80,91.38,0
6285,1.40,8.46,0.66,-6.29,-15.00,77.41,0
6311,2.45,8.10,0.50,-4.04,-6.83,61.86,0
6335,3.63,8.42,0.66,-1.60,-9.88,40.40,0
6360,3.90,8.87,0.86,3.71,-9.03,13.08,0
6384,3.50,8.58,0.09,6.76,-16.83,-11.37,0
6409,3.20,8.33,-0.56,2.61,-22.75,-31.73,0
6434,3.04,8.27,-0.37,-0.44,-16.47,-51.98,0
6458,2.83,7.90,-0.51,-2.27,-11.16,-70.94,0
6483,2.31,7.50,-1.22,-8.24,-20.25,-90.27,0
6507,2.15,7.11,-1.43,-18.24,-30.86,-107.34,0
6533,2.26,6.82,-0.99,-27.15,-30.67,-125.82,0
6557,2.98,6.23,-0.62,-32.27,-30.67,-151.24,0
6582,3.04,5.09,-0.63,-39.34,-43.97,-183.87,0
6607,2.83,4.16,-0.37,-49.40,-50.67,-217.22,0
6632,3.02,3.51,0.38,-58.79,-45.31,-263.62,0
6657,2.51,1.27,0.66,-69.58,-60.31,-319.17,0
6681,0.77,-1.91,0.23,-81.84,-37.81,-375.45,0
6707,-1.08,-6.06,0.05,-90.99,-9.88,-431.61,0
6731,-2.68,-11.52,0.49,-105.07,-32.81,-491.79,0
6756,-8.53,-17.28,0.43,-133.18,-81.04,-531.30,0
6781,-16.27,-19.65,2.58,-160.68,-57.50,-508.80,0
6806,-20.60,-17.23,6.52,-166.17,-79.39,-415.45,0
6831,-20.60,-11.31,11.95,-138.49,-200.55,-247.16,0
6856,-20.60,-8.88,14.26,-85.80,-144.70,-68.44,0
6881,-20.60,-8.47,14.45,-13.06,149.38,63.20,0
6906,-20.60,-9.54,11.21,21.51,99.63,133.08,0
6931,-17.31,-8.76,8.31,35.05,174.69,159.48,0
6956,-15.28,-6.34,6.43,40.96,125.60,165.34,0
6980,-14.28,-4.63,4.68,46.82,120.79,168.57,0
7006,-13.77,-4.24,2.67,44.01,105.30,176.07,0
7031,-14.52,-3.98,1.82,31.76,139.02,194.48,0
7055,-13.44,-3.56,1.43,31.39,60.42,212.23,0
7081,-12.11,-2.66,0.36,28.10,53.53,219.00,0
7105,-11.96,-2.23,-0.49,23.04,24.26,219.42,0
7130,-11.06,-1.31,-0.43,17.18,2.43,222.90,0
7155,-10.24,-0.46,-1.09,12.30,-8.72,223.08,0
7180,-9.65,0.34,-1.24,1.33,28.71,221.31,0
7205,-8.88,1.29,-0.86,-7.39,23.53,219.67,0
